"Year";"GDP"
1960;59716249310.97
1961;50056685957.36
1962;47209186415.36
1963;50706614526.15
1964;59708125203.86
1965;70436008642.43
1966;76720005491.9
1967;72881364882.49
1968;70846276051.47
1969;79705614854.77
1970;92602634891.66
1971;99800593790.99
1972;113689308020.34
1973;138543170458.06
1974;144188970821.07
1975;163429530659.64
1976;153939265947.78
1977;174935933078.66
1978;149540752829.27
1979;178280594413.04
1980;191149211575
1981;195866382432.54
1982;205089699858.78
1983;230686747153.26
1984;259946510957.14
1985;309488028132.65
1986;300758100107.25
1987;272972974764.57
1988;312353631207.82
1989;347768051311.74
1990;360857912565.97
1991;383373318083.62
1992;426915712715.86
1993;444731282435.52
1994;564321854521.01
1995;734484834573.58
1996;863749314718.54
1997;961601980984.62
1998;1029060747620.65
1999;1094003874937.34
2000;1211331651866.09
2001;1339400897105.11
2002;1470557654799.95
2003;1660280543846.79
2004;1955346768721.39
2005;2285961149879.85
2006;2752118657184.02
2007;3550327802998.4
2008;4594336785737.67
2009;5101691124285.21
2010;6087191746679.49
2011;7551545703440.76
2012;8532185381680.59
2013;9570471111831.68
2014;10475624944355.225
2015;11061572618578.693
2016;11233313730348.719
2017;12310491333980.889
2018;13894907857880.576
2019;14279968506271.727
2020;14687744162801.033
2021;17820459508852.184
2022;17881782683707.285
2023;17794783039551.957
