;"Population"
"1950";543979233
"1951";553613988
"1952";564954522
"1953";577378682
"1954";589936004
"1955";603320147
"1956";616283022
"1957";630003025
"1958";643791581
"1959";652179194
"1960";667070000
"1961";660330000
"1962";665770000
"1963";682335000
"1964";698355000
"1965";715185000
"1966";735400000
"1967";754550000
"1968";774510000
"1969";796025000
"1970";818315000
"1971";841105000
"1972";862030000
"1973";881940000
"1974";900350000
"1975";916395000
"1976";930685000
"1977";943455000
"1978";956165000
"1979";969005000
"1980";981235000
"1981";993885000
"1982";1008630000
"1983";1023310000
"1984";1036825000
"1985";1051040000
"1986";1066790000
"1987";1084035000
"1988";1101630000
"1989";1118650000
"1990";1135185000
"1991";1150780000
"1992";1164970000
"1993";1178440000
"1994";1191835000
"1995";1204855000
"1996";1217550000
"1997";1230075000
"1998";1241935000
"1999";1252735000
"2000";1262645000
"2001";1271850000
"2002";1280400000
"2003";1288400000
"2004";1296075000
"2005";1303720000
"2006";1311020000
"2007";1317885000
"2008";1324655000
"2009";1331260000
"2010";1337705000
"2011";1345035000
"2012";1354190000
"2013";1363240000
"2014";1371860000
"2015";1379860000
"2016";1387790000
"2017";1396215000
"2018";1402760000
"2019";1407745000
"2020";1411100000
"2021";1412360000
"2022";1412175000
"2023";1410710000
"2024";1425178782
"2025";1424381924
